Category,Name,Description
Communication,Answer email,Read and reply to an email
Communication,Phone call,Make or take a work call
Communication,Reply to message,Respond on chat or messaging
Meetings,Team meeting,Attend or run a team meeting
Meetings,One-on-one,A scheduled individual catch-up
Meetings,Client call,A call or meeting with a client
Documents,Write report,Draft a report or memo
Documents,Review document,Read and comment on a document
Documents,Proofread,Check a document for errors
Admin,Data entry,Enter or update records
Admin,File paperwork,Process or file paperwork
Admin,Schedule appointment,Book a meeting or appointment
Admin,Expense report,Submit or approve an expense
Support,Answer question,Help someone with a question
Support,Resolve ticket,Work and close a support ticket
